Blank,Type,Model,Asset Status,MAC Address,Serial,Asset Tag,Computer Name,Asset Condition,Delivery Date,Warranty,OS,Asset Remarks,Blank,Blank,Blank,Brand,Active Directory,Country,OS Version,Supplier,Disposal Date
,Desktop,Optiplex 3060,In Stock,54BF64A38D6A,D2LW8T2,RM462212,PHRMBON-D000363,WORKING,2019-07-08,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3060,In Use,54BF64A4249E,D2KW8T2,,PHRMBON-D000364,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Desktop,Optiplex 3060,In Use,54BF64A2E674,D2NS8T2,RM462216,PHRMBON-D000365,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,D4BED981C178,JJ4F8W1,RM460362,PHRMBON-L000116,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6420,In Stock,D4BED95CF764,9P35HV1,,PHRMBON-L000119,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6430,In Stock,d4-be-d9-81-c1-3b,H95F8W1,,PHRMBON-L000127,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,D4BED9800028,3K4F8W1,RM460361,PHRMBON-L000129,WORKING,2019-02-20,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,D4-BE-D9-80-10-8C,8C4F8W1,,PHRMBON-L000130,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,,3K5F8W1,,PHRMBON-L000131,WORKING,,,,,,Migration,2021-07-12,,AD Removed,,,,
,Laptop,Dell Latitude E6430,In Stock,,f0vd8w1,,PHRMBON-L000135,,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,f0-1f-af-4b-ab-a3,120BVY1,RM460550,PHRMBON-L000137,WORKING,2019-03-28,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6430,In Stock,F0-1F-AF-56-A3-EB,C60BVY1,,PHRMBON-L000138,WORKING,,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,ECF4BB10E877,GGWTJ12,RM460920,PHRMBON-L000140,WORKING,2019-07-16,,,,,Migration,2021-07-12,,,,,,
,Laptop,Dell Latitude E6440,In Stock,,5DMNVZ1,,PHRMBON-L000141,WORKING,,,,,,Migration,2021-07-12,,,,,,
